Epoch 59: {"Accuracy": 0.9516192530211153, "FP": 0.19931703810208484, "FN": 0.050832734243949095}
Epoch 60: {"Accuracy": 0.9545082545958639, "FP": 0.1943745506829619, "FN": 0.044572250179726734}
Epoch 61: {"Accuracy": 0.9539524922118308, "FP": 0.19626168224299065, "FN": 0.04678888090103036}
Epoch 62: {"Accuracy": 0.95409370613809, "FP": 0.19473400431344356, "FN": 0.04442247783369273}
Epoch 63: {"Accuracy": 0.9565280416623795, "FP": 0.19266714593817397, "FN": 0.041516894320632595}
Epoch 64: {"Accuracy": 0.9567446766628924, "FP": 0.1916786484543494, "FN": 0.04076803259046245}
Epoch 65: {"Accuracy": 0.956756444490086, "FP": 0.19194823867721064, "FN": 0.04088785046728968}
Epoch 66: {"Accuracy": 0.9561584249084162, "FP": 0.19203810208483105, "FN": 0.04118739515935774}
Epoch 67: {"Accuracy": 0.9567131174899807, "FP": 0.19113946800862688, "FN": 0.04007907979870593}
Epoch 68: {"Accuracy": 0.9562375902913214, "FP": 0.19185837526959024, "FN": 0.040947759405703284}
Epoch 69: {"Accuracy": 0.9567136523912163, "FP": 0.19006110711718188, "FN": 0.038970764438054126}
Epoch 70: {"Accuracy": 0.9564975522919354, "FP": 0.19051042415528396, "FN": 0.039509944883776627}
Epoch 71: {"Accuracy": 0.9570928973674199, "FP": 0.19006110711718188, "FN": 0.038461538461538436}
Epoch 72: {"Accuracy": 0.9574603745164395, "FP": 0.18943206326383896, "FN": 0.03792235801581594}
Epoch 73: {"Accuracy": 0.9576165656773044, "FP": 0.18943206326383896, "FN": 0.0377126767313683}
Epoch 74: {"Accuracy": 0.9565489028105756, "FP": 0.19131919482386772, "FN": 0.04028876108315358}
Epoch 75: {"Accuracy": 0.9566013231316899, "FP": 0.1906002875629044, "FN": 0.03939012700694941}
Epoch 76: {"Accuracy": 0.95627770788401, "FP": 0.19006110711718188, "FN": 0.03852144739995205}
Epoch 77: {"Accuracy": 0.9574742819485716, "FP": 0.1906901509705248, "FN": 0.03930026359932899}
Epoch 78: {"Accuracy": 0.9575604010475416, "FP": 0.19051042415528396, "FN": 0.03903067337646774}
Epoch 79: {"Accuracy": 0.9567083033788559, "FP": 0.19042056074766356, "FN": 0.03930026359932898}
Epoch 80: {"Accuracy": 0.9574309549484704, "FP": 0.19051042415528396, "FN": 0.03915049125329495}
Epoch 81: {"Accuracy": 0.9573015088493972, "FP": 0.1901509705248023, "FN": 0.038880901030433714}
Epoch 82: {"Accuracy": 0.957450211392961, "FP": 0.19086987778576564, "FN": 0.03950994488377661}
Epoch 83: {"Accuracy": 0.9573705111088215, "FP": 0.18979151689432064, "FN": 0.038281811646297605}
Epoch 84: {"Accuracy": 0.9571683184416749, "FP": 0.1901509705248023, "FN": 0.038731128684399686}
Epoch 85: {"Accuracy": 0.9575250975659776, "FP": 0.18979151689432064, "FN": 0.03846153846153843}
Epoch 86: {"Accuracy": 0.9581140238266318, "FP": 0.1897016534867002, "FN": 0.038281811646297605}
Epoch 87: {"Accuracy": 0.9580466262709177, "FP": 0.1895219266714594, "FN": 0.038102084831056766}
Epoch 88: {"Accuracy": 0.9578155489370379, "FP": 0.18997124370956148, "FN": 0.03864126527677926}
Epoch 89: {"Accuracy": 0.9576989404676232, "FP": 0.19042056074766356, "FN": 0.03906062784567454}
Epoch 90: {"Accuracy": 0.957785594467831, "FP": 0.18979151689432064, "FN": 0.03837167505391802}
Epoch 91: {"Accuracy": 0.9579048774434205, "FP": 0.18880301941049604, "FN": 0.03729331416247303}
Epoch 92: {"Accuracy": 0.9578011066036677, "FP": 0.1897016534867002, "FN": 0.03831176611550441}
Epoch 93: {"Accuracy": 0.9578465732087136, "FP": 0.18997124370956148, "FN": 0.03855140186915885}
Epoch 94: {"Accuracy": 0.9579433903323991, "FP": 0.1896117900790798, "FN": 0.038281811646297605}
Epoch 95: {"Accuracy": 0.9579674608880133, "FP": 0.18997124370956148, "FN": 0.038551401869158855}
Epoch 96: {"Accuracy": 0.9577010800725662, "FP": 0.1897016534867002, "FN": 0.0382518571770908}
Epoch 97: {"Accuracy": 0.9577214063195282, "FP": 0.1901509705248023, "FN": 0.03882099209202009}
Epoch 98: {"Accuracy": 0.9577898736777145, "FP": 0.18988138030194104, "FN": 0.03861131080757246}
Epoch 99: {"Accuracy": 0.9577898736777151, "FP": 0.19024083393242272, "FN": 0.0388509465612269}
